epsilon,HitRate@K,Precision@K,Recall@K,NDCG@K,n_users
0.01,0.21,0.027000000000000003,0.012905747656256239,0.034020879025442985,100
0.05,0.23,0.027000000000000003,0.016715524181514937,0.037912107023366365,100
0.1,0.22,0.032,0.01650700193926845,0.03740848407617682,100
0.15,0.14,0.016,0.009987437312666145,0.02131656488457959,100
0.2,0.19,0.023,0.012148103543454327,0.03262426048280148,100
0.3,0.14,0.019000000000000003,0.01563124204924519,0.026568699866726022,100
0.5,0.14,0.019000000000000003,0.009217593005350442,0.019692358749676443,100
