Algorithm,HitRate@K,Precision@K,Recall@K,NDCG@K,n_users
Random,0.12,0.013000000000000001,0.009143728618489689,0.017468313722477213,100
ε-Greedy(ε=0.05),0.18,0.02,0.012319122093002335,0.028604498348991973,100
Thompson,0.06,0.007000000000000001,0.004487601579706842,0.009026808407720412,100
Sequential-DQN,0.16,0.019000000000000003,0.017529121117251464,0.021534932572198285,100
