hidden_dim,lstm_hidden,lr,final_reward,HitRate@K,Precision@K,Recall@K,NDCG@K,n_users
32,16,0.001,0.08,0.04,0.004,0.0016666666666666666,0.0027772488774710905,50
32,16,0.0005,0.1,0.14,0.014000000000000002,0.021350630850630853,0.018872528460106563,50
32,32,0.001,0.12,0.12,0.012000000000000002,0.01342919632914123,0.015386771125783141,50
32,32,0.0005,0.06,0.12,0.012000000000000002,0.0106479422076327,0.015987857871132265,50
64,16,0.001,0.08,0.0,0.0,0.0,0.0,50
64,16,0.0005,0.12,0.1,0.01,0.007473903685768093,0.013902156305655835,50
64,32,0.001,0.12,0.1,0.01,0.01004728398536448,0.014344978519745113,50
64,32,0.0005,0.04,0.06,0.008,0.0016898496240601501,0.008608807973915038,50
